"position_id","inst_id","title","responsibilities","start_date","end_date"
"1","1","Full Stack ASP.NET Core & Blazor WebAssembly Developer","Built scalable ASP.NET Core Web APIs, Blazor WebAssembly applications, Stripe payment integration, teacher APIs, database design, deployment, and backend optimization.","2025-08-01","2025-12-31"
"2","2","Bachelor of Engineering Student","Completed a Bachelor's degree in Computer Systems Engineering while studying software engineering, databases, web development, and object-oriented programming.","2019-09-01","2025-06-30"
"3","3","ASP.NET Core Developer","Developed RESTful APIs, MVC admin dashboard, optimized SQL queries, and collaborated with mobile developers.","2022-01-01","2022-03-31"
"4","4","ASP.NET Core Developer","Developed ASP.NET Core MVC applications, REST APIs, Clean Architecture solutions, optimized legacy systems, testing, deployment, and technical documentation.","2021-11-01","2022-12-31"
